group,conditional_cat,demo_cat,property_offense,drug_offense,violent_offense,times_arrested,demo_var,conditional_var
All,2.0,3,2.6951643144591784,2.6117553443905845,1.8656584961249645,13.070679383479082,age,mental_illness
All,2.0,4,2.791467626380139,2.495808803960962,1.908702939263555,12.068194817036703,age,mental_illness
All,2.0,5,3.159829581948791,2.6500956920346486,1.7465544162828754,12.039812463059441,age,mental_illness
All,2.0,6,5.280066944374215,2.1631125176091133,1.8046165854751166,8.694866912115533,age,mental_illness
All,5.0,1,1.8201824574874101,1.8130613102857593,1.76895457105149,8.084679992803391,age,rest_less
All,5.0,2,2.875666538885152,2.1810200254285586,1.8235984460317123,11.31919639431003,age,rest_less
All,5.0,3,2.394810073221271,2.689598576034112,1.68456876957531,12.198529439618667,age,rest_less
All,5.0,4,2.2534914737068705,2.696009854716272,1.9699668816256732,12.604984837850752,age,rest_less
All,5.0,5,2.763480492031337,3.051470410533903,1.9107210220722524,9.952262430937465,age,rest_less
All,5.0,6,1.6267813127483417,1.5024797367636546,1.485285701007957,5.567371450060681,age,rest_less
All,4.0,1,3.546768612379841,1.8303515528923089,1.8773837553118067,7.254503445044719,age,rest_less
All,4.0,2,2.123016875131627,1.9943995144161653,1.5904560789475595,10.235075387978833,age,rest_less
All,4.0,3,2.276064150545931,2.673162223858948,1.5948379394461778,11.665677601872694,age,rest_less
All,4.0,4,3.108994042860699,2.369325100317059,1.638152962281703,10.228804981131063,age,rest_less
All,4.0,5,3.6899377065911234,2.5180362781437338,1.4859589712728176,8.63532065544262,age,rest_less
All,4.0,6,1.8242812522434357,2.09095597775941,1.2996015393286773,6.556284737300387,age,rest_less
All,3.0,1,7.39598985401316,1.5668802490598985,1.605516901712577,6.819852673433015,age,rest_less
All,3.0,2,2.1336027811585327,2.0042896303277233,1.6509694508722021,8.394504919689306,age,rest_less
All,3.0,3,2.377342965182709,2.3436490052926486,1.8150616006387745,11.828735790325247,age,rest_less
All,3.0,4,2.563440895519554,2.386845829451266,1.5765986475277645,9.524032795154609,age,rest_less
All,3.0,5,2.525596708463908,2.0364051033513153,1.682607701779916,8.519579171991518,age,rest_less
All,3.0,6,1.9976946558108604,1.7821507531227596,2.0283791735887,8.766569185471328,age,rest_less
All,2.0,1,1.892207250962984,1.7787843078123866,1.5418684528946047,6.021163207891632,age,rest_less
All,2.0,2,1.9609251087298605,1.8959727748133202,1.585118444649287,7.816470505619927,age,rest_less
All,2.0,3,1.938092808840449,2.0807516631150698,1.7885850687099225,9.371362854832677,age,rest_less
All,2.0,4,2.1712484248044306,2.4999321370950556,1.4902175364651624,9.07261242888161,age,rest_less
All,2.0,5,2.6323923458696816,1.8342911004906204,1.6833942549447107,7.886311415711973,age,rest_less
All,2.0,6,5.4710992664435825,3.0041011433452725,1.64962429190106,6.002339297281877,age,rest_less
All,1.0,1,1.9074496945902288,1.681977886736562,1.6002338277947654,5.591965438777734,age,rest_less
All,1.0,2,1.9149611702013436,1.853454016028109,1.5491386726561382,8.230114852821734,age,rest_less
All,1.0,3,2.11380276735272,1.9340237610272073,1.577844029881566,8.023336582941159,age,rest_less
All,1.0,4,2.522900436698311,2.1307641689861843,1.5876474474543811,8.227193038209858,age,rest_less
All,1.0,5,2.246823983131155,1.9052028510377415,1.5811418945027362,7.243388634254002,age,rest_less
